time,position,velocity,acceleration,KE,PE,Total_E,F_spring,F_damping,F_total,x_exact,v_exact,a_exact,error_x,error_v,error_a
0.0,1.0,0.0,-20.0,0.0,10.0,10.0,-20.0,-0.0,-20.0,1.0,0.0,-20.0,0.0,0.0,0.0
0.1,0.9248142396999972,-1.275758569300087,-7.08555325866846,0.8137799635713024,8.55281377951884,9.366593743090142,-18.496284793999944,11.410731535331484,-7.08555325866846,0.9253589653532782,-1.2788146383237942,-7.069113459410316,0.0005447256532810085,0.003056069023707142,0.016439799258144205
0.2,0.7739033815947536,-1.6318124557069384,-0.8826933219287554,1.3314059453001545,5.989264440437948,7.320670385738103,-15.478067631895073,14.595374309966317,-0.8826933219287554,0.7745208708001288,-1.6353668791912164,-0.8632513759095897,0.0006174892053751879,0.0035544234842779243,0.019441946019165712
0.30000000000000004,0.6116269312578716,-1.565428574033326,1.7690801966788854,1.2252833102000062,3.7408750303992115,4.966158340599218,-12.232538625157432,14.001618821836317,1.7690801966788854,0.6121432764411457,-1.5684983281047207,1.7862100081247831,0.0005163451832741472,0.003069754071394648,0.017129811445897758
0.4,0.46578584951377944,-1.3348846754646726,2.6238545155714252,0.8909585483952122,2.169564576072732,3.0605231244679443,-9.31571699027559,11.939571505847015,2.6238545155714252,0.46616133782720875,-1.3372124147778095,2.637164682655131,0.00037548831342931743,0.0023277393131369006,0.013310167083705693
0.5,0.3456158580935322,-1.0671501120851898,2.6325636094053744,0.5694046808617166,1.1945032136572857,1.7639078945190023,-6.912317161870644,9.544880771276018,2.6325636094053744,0.3458642327311774,-1.0687792566038576,2.64216762820812,0.00024837463764521006,0.0016291445186678022,0.009604018802745529
0.6,0.2515591720199206,-0.818989840357508,2.2940843832859423,0.3353721793044082,0.6328201702734801,0.9681923495778884,-5.031183440398412,7.325267823684355,2.2940843832859423,0.251710040628736,-0.8200623350891014,2.3006596956110483,0.00015086860881535769,0.001072494731593432,0.0065753123251059975
0.7,0.18040383906087365,-0.6110785759985236,1.8575761608884078,0.18670851302219166,0.325455451479016,0.5121639645012077,-3.608076781217473,5.465652942105881,1.8575761608884078,0.18048675684274199,-0.6117461690957957,1.8618889394382818,8.291778186833576e-05,0.0006675930972721567,0.004312778549873997
0.7999999999999999,0.127860602767752,-0.44664323338998435,1.4376864708461956,0.09974508896653002,0.16348333740132867,0.2632284263678587,-2.55721205535504,3.9948985262012355,1.4376864708461956,0.1278995407730581,-0.4470342605589752,1.440405164063725,3.893800530610503e-05,0.0003910271689908651,0.0027186932175293776
0.8999999999999999,0.08975685951538334,-0.3213549805472651,1.0791491353395624,0.05163451176126656,0.08056293830064261,0.13219745006190917,-1.795137190307667,2.8742863256472293,1.0791491353395624,0.08976928890716296,-0.32156660038222723,1.0807933328494208,1.2429391779616994e-05,0.0002116198349621512,0.0016441975098584471
0.9999999999999999,0.0625098532795569,-0.22835697416051504,0.7922898038451605,0.026073453823873067,0.0390748175703173,0.06514827139419037,-1.2501970655911379,2.0424868694362983,0.7922898038451605,0.06250761251539136,-0.22845781986933897,0.7932366105691488,2.2407641655369792e-06,0.00010084570882393229,0.0009468067239883915
