time,position,velocity,acceleration,KE,PE,Total_E,F_spring,F_damping,F_total,analytical,error
0.0,1.0,0.0,-20.0,0.0,10.0,10.0,-20.0,-0.0,-20.0,1.0,0.0
0.1,0.9049166666666667,-1.8399166666666666,-16.258416666666665,1.692646670138889,8.188741736111112,9.88138840625,-18.098333333333333,1.8399166666666666,-16.258416666666665,0.904842665960761,7.400070590568575e-05
0.2,0.6496095065972223,-3.160677846875,-9.831512285069445,4.994942225863193,4.219925110614866,9.214867336478058,-12.992190131944445,3.160677846875,-9.831512285069445,0.649377119144111,0.0002323874531112713
0.30000000000000004,0.297073276923465,-3.76460822719317,-2.1768573112761302,7.086137552125251,0.8825253186204574,7.968662870745709,-5.9414655384693,3.76460822719317,-2.1768573112761302,0.296675383249496,0.00039789367396902975
0.4,-0.07750171152483276,-3.6069185306561597,5.156952761152815,6.5049306433953955,0.060065152892783955,6.564995796288179,1.5500342304966552,3.6069185306561597,5.156952761152815,-0.07799246272622654,0.0004907512013937743
0.5,-0.40195406644716886,-2.7895425269767156,10.828623855920092,3.89077375490582,1.6156707153341503,5.50644447023997,8.039081328943377,2.7895425269767156,10.828623855920092,-0.4024077353703591,0.00045366892319026464
0.6,-0.6203612233504793,-1.5281152495580972,13.935339716567682,1.1675681079660027,3.848480474369032,5.016048582335035,12.407224467009586,1.5281152495580972,13.935339716567682,-0.6206302766449743,0.00026905329449500304
0.7,-0.701955446176043,-0.1008237679038737,14.139932691424734,0.005082716087167097,4.927414484162076,4.9324972002492435,14.03910892352086,0.1008237679038737,14.139932691424734,-0.7019199281860609,3.551798998213673e-05
0.7999999999999999,-0.644486549050261,1.2095777832525143,11.680153197752706,0.7315392068690333,4.153629119067145,4.885168325936179,12.88973098100522,-1.2095777832525143,11.680153197752706,-0.6440922133676363,0.0003943356826247024
0.8999999999999999,-0.4719305035262643,2.1690925225831794,7.269517547942106,2.3524811857631303,2.2271840015855338,4.579665187348664,9.438610070525286,-2.1690925225831794,7.269517547942106,-0.47120978359658516,0.0007207199296791478
0.9999999999999999,-0.22751030395716695,2.6316132999817863,1.918592779161553,3.4626942803205134,0.517609384066825,3.980303664387338,4.550206079143339,-2.6316132999817863,1.918592779161553,-0.22658075492440644,0.0009295490327605183
1.0999999999999999,0.03621959265366806,2.557893276921468,-3.282285129994829,3.2714090080600227,0.013118588919976451,3.284527596979999,-0.7243918530733612,-2.557893276921468,-3.282285129994829,0.03717892253208464,0.0009593298784165843
1.2,0.268091236640303,2.012723702069369,-7.374548434875429,2.025528350435913,0.7187291116332694,2.7442574620691826,-5.36182473280606,-2.012723702069369,-7.374548434875429,0.26887959538570555,0.000788358745402562
1.3,0.42776242246471086,1.1429194946742123,-9.698167943968429,0.6531324856531784,1.8298069007287776,2.4829393863819558,-8.555248449294217,-1.1429194946742123,-9.698167943968429,0.42820358354789345,0.00044116108318259517
1.4000000000000001,0.492233176807491,0.1420558575769435,-9.986719393726764,0.010089933335960428,2.422935003499947,2.433024936835907,-9.84466353614982,-0.1420558575769435,-9.986719393726764,0.492217023776833,1.6153030657994893e-05
1.5000000000000002,0.45849855257705097,-0.7901878597730526,-8.379783191767967,0.31219842686635874,2.1022092271525077,2.4144076540188664,-9.169971051541019,0.7901878597730526,-8.379783191767967,0.4580082191414269,0.0004903334356240463
1.6000000000000003,0.34220899121981124,-1.485959301985652,-5.358220522410573,1.104037523578843,1.1710699367168085,2.2751074602956516,-6.844179824396225,1.485959301985652,-5.358220522410573,0.3413272739004436,0.0008817173193676475
1.7000000000000004,0.1729685553524058,-1.8376033004981123,-1.6217678065500039,1.6883929450007777,0.29918121140698267,1.9875741564077605,-3.459371107048116,1.8376033004981123,-1.6217678065500039,0.17186216769831786,0.001106387654087937
1.8000000000000005,-0.012529718417759711,-1.8120737341791564,2.0626681025343507,1.641805609050996,0.001569938436283469,1.6433755474872795,0.2505943683551942,1.8120737341791564,2.0626681025343507,-0.013644446534142237,0.0011147281163825257
1.9000000000000006,-0.1780415842621277,-1.4500188523048887,5.010850537547443,1.0512773360197933,0.31698805726568324,1.3682653932854767,3.560831685242554,1.4500188523048887,5.010850537547443,-0.17894387756262364,0.0009022933004959321
2.0000000000000004,-0.2945084896253689,-0.8511688555211072,6.741338648028485,0.3622442103045557,0.8673525046141604,1.2295967149187161,5.890169792507378,0.8511688555211072,6.741338648028485,-0.29501922611774306,0.0005107364923741531
2.1000000000000005,-0.34480962890786726,-0.1500618168010548,7.0462543949584,0.011259274430816665,1.1889368018758113,1.200196076306628,6.896192578157345,0.1500618168010548,7.0462543949584,-0.3448284175399913,1.8788632124067117e-05
2.2000000000000006,-0.3258290419140046,0.5124326058893061,6.0041482323907855,0.13129358778925243,1.0616456455459815,1.192939233335234,6.516580838280092,-0.5124326058893061,6.0041482323907855,-0.32535449130781463,0.0004745506061899496
2.3000000000000007,-0.24770646590605638,1.016065425708315,3.9380638924128126,0.5161944746599098,0.6135849325166828,1.1297794071765925,4.954129318121128,-1.016065425708315,3.9380638924128126,-0.24683563356385058,0.0008708323422058073
2.400000000000001,-0.13067992388026434,1.2817400076496432,1.3318584699556433,0.8214287236048537,0.1707724250535168,0.9922011486583706,2.6135984776052865,-1.2817400076496432,1.3318584699556433,-0.12958745398775048,0.0010924698925138532
2.500000000000001,-0.00033970099758057204,1.2823933250812507,-1.2755993051296393,0.8222663201064732,1.153967677572358e-06,0.8222674740741507,0.006794019951611441,-1.2823933250812507,-1.2755993051296393,0.0007585754515638518,0.001098276449144424
2.600000000000001,0.11766744150755995,1.0431092720132864,-3.3964581021644853,0.5440384766800441,0.13845626790935042,0.6824947445893945,-2.353348830151199,-1.0431092720132864,-3.3964581021644853,0.11855855406836217,0.0008911125608022236
2.700000000000001,0.20244093568080507,0.6314669719089827,-4.680285685525083,0.19937526830594998,0.4098233243931986,0.6091985926991486,-4.048818713616101,-0.6314669719089827,-4.680285685525083,0.202957223941545,0.0005162882607399333
2.800000000000001,0.24128450701639864,0.14085820545201888,-4.966548345779992,0.00992051702158158,0.5821821332614653,0.5921026502830469,-4.825690140327973,-0.14085820545201888,-4.966548345779992,0.24133584639275715,5.133937635851127e-05
